OpenCL NVIDIA GeForce GTX 1050 Ti
double n 50000000 group 128 time 0.05762569999205879867
double n 60000000 group 128 time 0.07335859999875538051
double n 70000000 group 128 time 0.07790449997992254794
double n 80000000 group 128 time 0.08879559999331831932
double n 90000000 group 128 time 0.09850250001181848347
double n 10000000 group 256 time 0.01809370002592913806
double n 20000000 group 256 time 0.02216090000001713634
double n 30000000 group 256 time 0.03548130000126548111
double n 40000000 group 256 time 0.04519730000174604356
double n 50000000 group 256 time 0.05493140002363361418
double n 60000000 group 256 time 0.06607830000575631857
double n 70000000 group 256 time 0.08191789998090825975
double n 80000000 group 256 time 0.08836540000629611313
double n 90000000 group 256 time 0.10923659999389201403
